netGeneration,totalFuelConsum,state
"4,255","71,485",AK
"5,153","16,110",AK
"3,305","6,892",AK
"1,653","2,699",AK
0,0,AK
136,321,AK
66,0,AK
195,476,AK
118,242,AK
"17,885","47,223",AK
"344,195","585,695",AK
700,"1,051",AK
6,12,AK
"3,777","15,792",AK
"30,216","46,176",AK
0,0,AK
"19,252","33,548",AK
"57,056",0,AK
"244,773",0,AK
"329,763",0,AK
"572,958",0,AK
"370,545","654,007",AK
"29,382","88,768",AK
"25,141","50,627",AK
4,13,AK
"336,597",0,AK
"1,185,654","12,809,260",AK
"525,319","8,559,573",AK
"190,080",0,AK
"621,908","8,274,543",AK
"192,493","2,427,893",AK
"468,275","5,206,730",AK
0,0,AK
0,0,AK
0,0,AK
"50,775","690,254",AK
0,0,AK
0,0,AK
"333,015","508,145",AK
"7,138","27,712",AK
"138,917","132,512",AK
"88,101","240,874",AK
"73,163","173,482",AK
"153,263","191,792",AK
"39,352","65,205",AK
"74,027","72,416",AK
"3,062",0,AK
"123,646","53,230,598",AL
"176,274","773,587",AL
"37,199","219,643",AL
"244,022","799,704",AL
"9,342","82,841",AL
"79,231","298,756",AL
"245,980","501,922",AL
"296,011","874,785",AL
0,0,AL
"117,340","476,052",AL
"155,029","523,804",AL
"90,693","465,921",AL
"306,418","1,002,158",AL
"283,564","1,115,011",AL
"5,602","8,540",AL
"1,017,398","4,256,344",AL
"2,628","30,373",AL
"224,465","1,161,606",AL
"7,947,704","3,526,534",AL
"5,198,073","2,251,490",AL
"2,349,928","1,014,259",AL
"8,014,847","3,299,127",AL
"2,917,660","1,437,063",AL
"4,677,053","2,238,890",AL
"3,014,525","1,400,093",AL
"60,399","119,318",AL
0,0,AL
"110,223","95,949",AL
"52,326","70,388",AL
"459,398","285,201",AL
"112,929","216,177",AL
0,0,AL
"9,381","16,856",AL
"2,573","6,008",AL
0,0,AL
699,"1,849",AL
"18,217","31,124",AL
"1,088","2,514",AL
"21,371","42,397",AL
"11,149","20,846",AL
"11,729","23,350",AL
91,0,AL
205,466,AL
0,0,AL
-107,0,AL
"5,885","53,172",AL
0,0,AL
0,0,AL
"2,313","15,672",AL
0,0,AL
0,0,AL
0,0,AL
"15,130","29,589",AL
0,0,AL
3,7,AL
0,0,AL
719,"1,420",AL
"13,416","98,857",AL
"863,516",0,AL
"511,909",0,AL
"764,959",0,AL
"494,390",0,AL
"652,892",0,AL
"442,277",0,AL
"771,757",0,AL
"1,555,029",0,AL
"495,994",0,AL
"202,307",0,AL
"2,969,315",0,AL
"2,029,148",0,AL
0,0,AL
"2,156,430","304,507",AL
"3,888,492","40,677,834",AL
"94,276","920,120",AL
"124,267","1,636,327",AL
"14,756","143,173",AL
85,"1,255",AL
"822,981","647,062",AL
"1,488,177","16,454,300",AL
"70,451","721,929",AL
0,0,AL
"32,746","318,795",AL
"2,772,552","3,763,651",AL
"4,481,723","46,434,078",AL
"358,695",1,AL
"1,147,743","10,630,328",AL
"1,284,834","1,613,073",AL
"2,008,290","21,464,542",AL
"43,485","2,224,808",AL
0,0,AL
"8,140","305,612",AL
"29,820","578,061",AL
"65,734","2,270,231",AL
"32,924","1,117,471",AL
"24,543","6,047",AL
"1,525","21,271",AL
"48,624","1,964,012",AL
"199,122","2,579,654",AL
"19,114","702,125",AL
"90,357",0,AL
"171,831","1,940,613",AL
"237,874","291,405",AL
"368,716","4,000,293",AL
"1,032,966",0,AL
"2,010,377","23,551,712",AL
"1,393,684","176,523",AL
"2,826,156","31,548,788",AL
"91,993","979,382",AL
"268,886","154,652",AL
"465,872","5,153,892",AL
"231,100","627,611",AL
"1,164,480","14,299,539",AL
"14,562","146,313",AL
"10,607","110,082",AL
"12,497","86,221",AL
0,0,AL
"1,704","9,367",AL
"15,720","273,256",AL
0,0,AL
0,0,AL
"56,312","803,823",AL
"1,498","46,007",AL
"483,547","6,142,751",AL
"8,758,705",0,AL
"7,808,509",0,AL
"9,175,413",0,AL
"6,711,124",0,AL
"7,262,453",0,AL
"75,948","6,579,098",AL
"1,110","9,241",AL
"2,093","12,752",AL
0,0,AL
"36,752","55,671",AL
0,0,AL
0,0,AL
0,0,AL
0,0,AL
0,0,AL
0,0,AL
0,0,AL
0,0,AL
"20,744,807","12,161,264",AL
"7,137","8,330",AL
"9,236","56,254",AL
"236,949","875,318",AR
"169,465","863,059",AR
"263,708","1,061,176",AR
"1,689","8,687",AR
"61,750","357,183",AR
"489,568","1,373,716",AR
"117,712","575,565",AR
"36,176","1,022,139",AR
"10,920","198,503",AR
"2,618","115,138",AR
318,"1,032",AR
0,0,AR
"87,437","269,032",AR
"88,917","126,320",AR
19,50,AR
-133,69,AR
0,0,AR
"16,152","28,481",AR
"6,587","11,753",AR
"12,137","21,403",AR
291,"2,164",AR
"1,284","11,184",AR
0,0,AR
304,544,AR
0,0,AR
42,74,AR
729,"1,767",AR
"186,231",0,AR
"79,410",0,AR
"100,365",0,AR
"340,252",0,AR
"229,011",0,AR
"883,912",0,AR
"815,427",0,AR
"279,597",0,AR
"445,263",0,AR
"932,816",0,AR
"3,249",0,AR
"20,107","278,029",AR
"2,288","63,033",AR
"44,526","666,988",AR
"132,236","1,537,745",AR
0,0,AR
"15,656",0,AR
"46,182","588,427",AR
"16,659","208,456",AR
"95,235","1,196,154",AR
"55,968","2,443,656",AR
"29,171","1,379,664",AR
"98,367","3,309,273",AR
"257,686","44,037",AR
"1,086,085","12,561,996",AR
"32,033",0,AR
"128,457","1,358,225",AR
"110,592",0,AR
"227,161","2,541,456",AR
"1,604,493","932,847",AR
"2,611,340","29,167,777",AR
"634,337","712,545",AR
"1,072,313","11,479,974",AR
"990,716","66,680",AR
"1,787,540","19,060,630",AR
"27,671","362,406",AR
0,0,AR
"20,261","230,595",AR
"58,047","604,655",AR
"2,519","25,098",AR
308,"7,118",AR
"160,462","2,073,395",AR
"7,302,097",0,AR
"7,867,869",0,AR
0,0,AR
0,0,AR
-25,0,AR
0,0,AR
0,0,AR
"5,947","10,223",AR
"38,969","67,205",AR
0,0,AR
"2,278","12,322",AR
"10,786,754","6,421,536",AR
"2,821,627","1,751,468",AR
"11,377,952","6,820,983",AR
"9,722","14,729",AR
0,0,AR
"14,297","16,680",AR
"3,092","24,721",AR
0,0,AR
0,0,AZ
"137,674","137,055",AZ
"18,355","553,817",AZ
"3,616","99,636",AZ
0,0,AZ
"135,565","73,464",AZ
0,0,AZ
"16,118,198","7,530,160",AZ
0,0,AZ
0,0,AZ
0,0,AZ
"3,165","6,000",AZ
0,0,AZ
0,0,AZ
0,0,AZ
"3,180","6,950",AZ
0,0,AZ
0,0,AZ
-315,6,AZ
-147,0,AZ
-311,0,AZ
0,0,AZ
"22,485","39,039",AZ
"9,852","17,756",AZ
"19,571","36,981",AZ
716,"2,336",AZ
39,75,AZ
8,55,AZ
312,571,AZ
"3,136","13,604",AZ
"38,748",0,AZ
"81,750","101,159",AZ
"13,712",0,AZ
"45,180","54,750",AZ
"1,119,157",0,AZ
"3,703,866",0,AZ
"42,550",0,AZ
"1,275,028",0,AZ
"197,952",0,AZ
"1,359","16,310",AZ
"2,310","46,720",AZ
"78,728","897,550",AZ
"344,572","75,470",AZ
"332,149","3,470,930",AZ
"843,669","9,699,160",AZ
783,"18,570",AZ
"24,645","352,270",AZ
"66,102","844,710",AZ
"62,464","711,540",AZ
"318,758","3,415,400",AZ
"5,750","84,210",AZ
"541,088","6,091,832",AZ
"4,719","87,577",AZ
"60,123","789,801",AZ
"242,018","60,661",AZ
"478,493","5,379,672",AZ
"2,104","46,340",AZ
-520,0,AZ
"34,009","404,006",AZ
"8,630","164,844",AZ
"49,130","664,930",AZ
"50,806","544,436",AZ
"1,449,193","1,563,611",AZ
"296,927","2,791,207",AZ
